Provider,Model,Metric,Score column,N_total,N_eval,Error count,Nonempty pred,Task success rate,AUROC,Average Precision,Spearman,Note,File
claude,claude-sonnet-4-5-20250929,Sharpness,sharpness,300,300,0,300,0.57,0.49276939117820395,0.5766360900303336,-0.012400510319953196,,results_api_vlm/all_strict300/claude_strong_claude-sonnet-4-5-20250929_visdrone300.csv
claude,claude-sonnet-4-5-20250929,Brightness-quality,brightness_quality,300,300,0,300,0.57,0.5574142073530078,0.634699552445208,0.09846549417066283,,results_api_vlm/all_strict300/claude_strong_claude-sonnet-4-5-20250929_visdrone300.csv
claude,claude-sonnet-4-5-20250929,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.57,0.6635386916904664,0.6645770296185809,0.4235420831180563,,results_api_vlm/all_strict300/claude_strong_claude-sonnet-4-5-20250929_visdrone300.csv
claude,claude-sonnet-4-5-20250929,TCUS-proxy,tcus_proxy,300,300,0,300,0.57,0.6902398114148419,0.6994046932062913,0.32626170255600995,,results_api_vlm/all_strict300/claude_strong_claude-sonnet-4-5-20250929_visdrone300.csv
claude,claude-opus-4-5-20251101,PSNR,psnr,300,300,0,300,0.55,0.5132884399551066,0.565251533388935,0.022993142597281562,,results_api_vlm/all_strict300/claude_strongest_claude-opus-4-5-20251101_visdrone300.csv
claude,claude-opus-4-5-20251101,SSIM,ssim,300,300,0,300,0.55,0.5053423120089787,0.5614060255932039,0.0092438647603936,,results_api_vlm/all_strict300/claude_strongest_claude-opus-4-5-20251101_visdrone300.csv
claude,claude-opus-4-5-20251101,Sharpness,sharpness,300,300,0,300,0.55,0.5046464646464646,0.5608740188974478,0.008007616660844902,,results_api_vlm/all_strict300/claude_strongest_claude-opus-4-5-20251101_visdrone300.csv
claude,claude-opus-4-5-20251101,Brightness-quality,brightness_quality,300,300,0,300,0.55,0.5099438832772165,0.5692565854552193,0.017137073336977254,,results_api_vlm/all_strict300/claude_strongest_claude-opus-4-5-20251101_visdrone300.csv
claude,claude-opus-4-5-20251101,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.55,0.6420650953984288,0.6319125424927331,0.36972548092037744,,results_api_vlm/all_strict300/claude_strongest_claude-opus-4-5-20251101_visdrone300.csv
claude,claude-opus-4-5-20251101,TCUS-proxy,tcus_proxy,300,300,0,300,0.55,0.6378002244668911,0.6283132748890579,0.2374819259948157,,results_api_vlm/all_strict300/claude_strongest_claude-opus-4-5-20251101_visdrone300.csv
claude,claude-haiku-4-5-20251001-thinking,PSNR,psnr,300,300,0,300,0.5766666666666667,0.5144053525101271,0.5972934370211909,0.024755076930441842,,results_api_vlm/all_strict300/claude_thinking_claude-haiku-4-5-20251001-thinking_visdrone300.csv
claude,claude-haiku-4-5-20251001-thinking,SSIM,ssim,300,300,0,300,0.5766666666666667,0.5176823995266489,0.5999119144287315,0.03038656362551866,,results_api_vlm/all_strict300/claude_thinking_claude-haiku-4-5-20251001-thinking_visdrone300.csv
claude,claude-haiku-4-5-20251001-thinking,Sharpness,sharpness,300,300,0,300,0.5766666666666667,0.505074871421419,0.5825538424879122,0.008686038228175217,,results_api_vlm/all_strict300/claude_thinking_claude-haiku-4-5-20251001-thinking_visdrone300.csv
claude,claude-haiku-4-5-20251001-thinking,Brightness-quality,brightness_quality,300,300,0,300,0.5766666666666667,0.5292886077101633,0.6027768466484382,0.050129736321352036,,results_api_vlm/all_strict300/claude_thinking_claude-haiku-4-5-20251001-thinking_visdrone300.csv
claude,claude-haiku-4-5-20251001-thinking,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.5766666666666667,0.6666059806108051,0.6726643420467577,0.43062440384243045,,results_api_vlm/all_strict300/claude_thinking_claude-haiku-4-5-20251001-thinking_visdrone300.csv
claude,claude-haiku-4-5-20251001-thinking,TCUS-proxy,tcus_proxy,300,300,0,300,0.5766666666666667,0.6681989895771698,0.6674512004180884,0.28788568854010327,,results_api_vlm/all_strict300/claude_thinking_claude-haiku-4-5-20251001-thinking_visdrone300.csv
claude,claude-opus-4-5-20251101-thinking,PSNR,psnr,300,300,1,299,0.5333333333333333,0.5187946428571429,0.5518530711778129,0.03261170947192845,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-5-20251101-thinking_visdrone300.csv
claude,claude-opus-4-5-20251101-thinking,SSIM,ssim,300,300,1,299,0.5333333333333333,0.5111607142857142,0.5486212667921715,0.01936562320185775,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-5-20251101-thinking_visdrone300.csv
claude,claude-opus-4-5-20251101-thinking,Sharpness,sharpness,300,300,1,299,0.5333333333333333,0.504732142857143,0.5453264635921858,0.008178122982133645,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-5-20251101-thinking_visdrone300.csv
